ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_eventName;dhis_eventId;dhis_eventOrgUnitCode;dhis_eventDate;dhis_eventDataElementName;dhis_eventDataElementId;dhis_dataElementValueUnique;dhis_assignValue
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;1;Code ASBC;Gestion intrant;XzFxUYlBIkN;oui;;;;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;;;Gestion intrant;XzFxUYlBIkN;;;1. Type d'opération;k3StAHJLRVj;;1
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;2;date de l'operation;Gestion intrant;XzFxUYlBIkN;;oui;;;oui;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;3;Paracetamol 500mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.9 Paracetamol 500mg;HBdqe0zxKdR;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;4;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 6);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);je9EZjk1J95;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;5;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 12);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);b2jXscnYzU7;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;6;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 18);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);KS0NpR8CFq9;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;7;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 24);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);KfFBHoy6pK4;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;8;Dihydroartemisinine 20mg+ Pipéraquine 160mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.5 Dihydroartemisinine 20mg-Piperaquine 160mg;WINtPvor73n;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;9;Dihydroartemisinine 20mg+ Pipéraquine 320mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.6 Dihydroartemisinine 40mg-Piperaquine 320mg;pfErpI465XJ;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;10;Artésunate rectal 50mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.7 Artesunate rectal 50mg;mAxCBjMDS2d;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;11;Artésunate rectal 100mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.8 Artesunate rectal 100mg;oU6XAVIG2jN;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;12;Amoxiciline Dispersible 250 Mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.10 Amoxicilline dispersible250 mg;z2jmkfs0fhP;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;13;Sulfadoxine pyriméthamine;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.11 Sulfadoxine pyrimethamine;I7I6CdSQ2LY;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;14;Fer acide folique;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.12 Fer acide folique;GXGOBMCsZrQ;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;15;Micronutriments multiples (MMS);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.13 Micronutriments multiples;UcaofPxKeEU;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;16;Poudre de micronutiments multiples (MNP);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.14 Poudre de micronutriments multiples;lQcjxtYF8RP;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;17;Contraceptif oraux combiné (COC);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.16 Contraceptifs oraux combines (COC);UppDy4iH3EG;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;18;Contraceptif oraux progestatif (COP);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.17 Contraceptifs oraux progestatifs (COP);lqcdVMYjsSd;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;19;Condom masculin;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.18 Condom masculin;MnVHMMxmKMT;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;20;Condom feminin;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.19 Condom feminin;O6rwNAgL2f6;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;21;Sayana Press;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.20 DMPA sc (Sayana press);kixMwkOsAJl;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;22;TDR pour paludisme;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.21 TDR pour Paludisme;AUcaAk5d95k;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;23;Kit SRO/ZINC;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.15 Kit sro zinc;itdMNg2ML4I;;
3;d38d6a71-113c-471f-a946-bc12f93ac839;INITIALISATION DE STOCK;initstock;24;Code Opération;Gestion intrant;XzFxUYlBIkN;;;Code Opération;QEpj5yfYAej;;
